"issue.name","issue.number","issue.state","issue.closed_at"
"updated model to take any size and improve performance.  ","139","open",""
"as a developer I need to make the ai models accept any size image as input","138","open",""
"code refactor and comments on functions used in backend ","137","open",""
"#85 dashboard template #107 Modules page ","136","open",""
"As a developer, I need to make system test for the modules page","135","open",""
"As a developer, I need to make a powerpoint for the Release 1 Presentation","134","open",""
"As a user, I want to use my camera input to quiz me on if I am doing the hand signals properly","133","open",""
"As a user, I want to be able to take lessons on sign language","132","open",""
"Registration system tests - #113","131","closed","2020-11-05 02:10:21"
"As a developer, I need to make sure error messages disappear when you close and repopen the register modal","130","open",""
"hardcoded tensor type so that data type issues from using the default…","129","closed","2020-11-04 00:34:21"
"As a developer, I need to fix the code that feeds data into the model to eliminate potential tensor type conflicts","128","closed","2020-11-04 00:34:40"
"Frontend register apicall","127","closed","2020-11-04 00:05:13"
"As a developer, I need to fix that error message shows up for login errors even on successful logins","126","closed","2020-11-04 00:05:13"
"Backend local database set up with full tables","125","closed","2020-11-01 18:50:07"
"UI fixes from feedback - #119","124","closed","2020-10-29 23:43:54"
"refactor last sprint's sonarQube's errors - #116","123","closed","2020-10-31 19:56:43"
"As a developer, I need to make a video to go through the code of the hardest issue tackled so far","122","open",""
"As a developer, we need to make a video with voiceover going over the features we have implemented","121","open",""
"As a developer, I need to setup the database to run locally","120","closed","2020-11-01 18:50:07"
"As a developer, I need to make changes to the ui based on the changes being made to the ui protoypes","119","closed","2020-10-31 18:53:47"
"As a developer, I need to make changes to the ui prototypes based on stakeholder feedback","118","closed","2020-10-29 01:49:32"
"As a backend developer, I need to use the SonarQube report from sprint 2 to get rid of bugs/code smells in the backend","117","open",""
"As a front-end developer, I need to use the SonarQube report to fix bugs/code smells from sprint 2","116","closed","2020-10-31 19:56:51"
"login system tests - #112","115","closed","2020-10-28 18:03:16"
"Ai/100 integrate alphabet model","114","closed","2020-10-29 00:26:32"
"Make register system test","113","closed","2020-11-05 02:36:32"
"Make login system test","112","closed","2020-10-28 18:03:27"
"As a developer, we need system tests for login/register","111","closed","2020-11-05 02:10:21"
"continue as guest ux/ui + test - #99","110","closed","2020-10-24 18:31:24"
"Change reqs/105 change login credentials","109","closed","2020-10-24 18:01:19"
"As a developer, I need to make an endpoint that provides a list of all available modules","108","open",""
"As a developer, I need to make the ""Modules"" page on the dashboard","107","open",""
"As a user, I want to see all available modules on the dashboard","106","open",""
