"pr.title","PR Issue #pr.comments","pr.review_comments","pr.commits","pr.state","pr.closed_at"
"updated model to take any size and improve performance.  ","139","0","0","1","open",""
"#85 dashboard template #107 Modules page ","136","0","0","10","open",""
"Registration system tests - #113","131","1","0","2","closed","2020-11-05 02:10:21"
"hardcoded tensor type so that data type issues from using the default…","129","1","0","2","closed","2020-11-04 00:34:21"
"Frontend register apicall","127","1","6","7","closed","2020-11-04 00:05:13"
"Backend local database set up with full tables","125","3","2","8","closed","2020-11-01 18:50:07"
"UI fixes from feedback - #119","124","0","0","1","closed","2020-10-29 23:43:54"
"refactor last sprint's sonarQube's errors - #116","123","1","0","3","closed","2020-10-31 19:56:43"
"login system tests - #112","115","0","0","1","closed","2020-10-28 18:03:16"
"Ai/100 integrate alphabet model","114","2","0","8","closed","2020-10-29 00:26:32"
"continue as guest ux/ui + test - #99","110","3","0","2","closed","2020-10-24 18:31:24"
"Change reqs/105 change login credentials","109","0","0","3","closed","2020-10-24 18:01:19"
"Feature/77 login","96","1","0","5","closed","2020-10-19 02:53:06"
"Backend/endpoints","95","0","2","17","closed","2020-10-18 22:48:51"
"#91 switched the register form first name, last name fields to Username","93","0","0","1","closed","2020-10-18 17:46:20"
"Setup/66 cypress","90","0","0","7","closed","2020-10-18 00:53:15"
"Dbconnection","89","0","0","5","closed","2020-10-15 21:57:05"
"#75 #76 Ui/76 75 Login Signup","88","1","0","8","closed","2020-10-15 02:56:14"
"Ui/73 homepage","87","1","0","5","closed","2020-10-11 03:57:25"
"Test/backend pytest","71","1","0","7","closed","2020-09-28 00:20:55"
"Setup/65 jest","70","1","0","3","closed","2020-09-26 02:38:22"
"Setup/61 redux","69","0","0","8","closed","2020-09-24 05:39:36"
"Issue44 setup docker","67","2","0","2","closed","2020-09-22 16:12:37"
"Set up Django and React starting template","60","5","2","18","closed","2020-09-15 22:40:52"
